SN,TEST_DATE,IMEI NUMBER,SFR_L,SFR_R,sample
61A3J024598,2019/3/21 09:32,351852100978542,514.1333,506.88,11
61A3J023296,2019/3/21 09:32,351852100965523,555.7333,472.32,11
61A3J024052,2019/3/21 09:33,351852100973089,546.1333,503.68,11
61A3J021605,2019/3/21 09:34,351852100948610,571.0933,494.72,11
61A3J024177,2019/3/21 09:35,351852100974335,517.12,464.4267,11
61A3J024237,2019/3/21 09:35,351852100974939,573.6533,525.2267,12
61A3J022659,2019/3/21 09:36,351852100959153,564.507,513.92,12
61A3J022103,2019/3/21 09:37,351852100953594,542.72,490.88,12
61A3J022345,2019/3/21 09:39,351852100956019,496.64,498.56,12
61A3J022435,2019/3/21 09:39,351852100956910,615.5676,505.1733,12
61A3J022669,2019/3/21 09:40,351852100959252,495.36,495.5733,13
61A3J022727,2019/3/21 09:41,351852100959831,604.5,496.2133,13
61A3J021537,2019/3/21 09:42,351852100947935,506.0267,522.0267,13
61A3J024576,2019/3/21 09:43,351852100978328,546.1333,492.8,13
61A3J022132,2019/3/21 09:44,351852100953883,584.5,587.0423,13
61A3J024156,2019/3/21 09:44,351852100974129,560.64,494.72,14
61A3J024555,2019/3/21 09:45,351852100978112,569.8133,524.16,14
61A3J024178,2019/3/21 09:45,351852100974343,578.3467,522.7383,14
61A3J024162,2019/3/21 09:46,351852100974186,575.5733,581.1765,14
61A3J022662,2019/3/21 09:47,351852100959187,548.0533,506.24,14
61A3J024349,2019/3/21 09:48,351852100976058,591.876,491.3067,15
61A3J021749,2019/3/21 09:49,351852100950053,525.0133,449.0667,15
61A3J022400,2019/3/21 09:50,351852100956563,551.68,487.4667,15
61A3J022186,2019/3/21 09:51,351852100954428,497.28,492.3733,15
61A3J023961,2019/3/21 09:52,351852100972172,580.9929,491.0933,15
61A3J024640,2019/3/21 09:53,351852100978963,464.4267,462.9333,16
61A3J024599,2019/3/21 09:54,351852100978559,567.9456,465.92,16
61A3J024183,2019/3/21 09:55,351852100974392,563.5177,481.0667,16
61A3J023964,2019/3/21 09:56,351852100972206,582.4444,490.4533,16
61A3J022101,2019/3/21 09:56,351852100953578,531.4595,493.44,16
61A3J024364,2019/3/21 09:57,351852100976207,550.042,502.1867,17
61A3J022104,2019/3/21 09:58,351852100953602,606.3407,464,17
61A3J021619,2019/3/21 09:58,351852100948750,521.1111,493.2267,17
61A3J024296,2019/3/21 09:59,351852100975522,640,517.9733,17
61A3J023927,2019/3/21 09:59,351852100971836,552.96,467.2,17
61A3J024642,2019/3/21 10:03,351852100978989,368.4267,507.7333,18
61A3J021620,2019/3/21 10:03,351852100948768,625.8255,536.1067,18
61A3J022351,2019/3/21 10:04,351852100956076,540.9524,461.8667,18
61A3J022720,2019/3/21 10:05,351852100959765,569.3237,503.04,18
61A3J022684,2019/3/21 10:06,351852100959401,544.8533,492.16,18
61A3J022675,2019/3/21 10:06,351852100959310,578.56,507.0933,19
61A3J022187,2019/3/21 10:07,351852100954436,555.9467,520.7467,19
61A3J023930,2019/3/21 10:07,351852100971869,530.7733,482.3467,19
61A3J022349,2019/3/21 10:08,351852100956050,555.5942,503.2533,19
61A3J023966,2019/3/21 10:09,351852100972222,551.4667,474.88,19
61A3J024352,2019/3/21 10:09,351852100976082,333.8667,515.6267,20
61A3J021621,2019/3/21 10:10,351852100948776,576.2222,462.72,20
61A3J024161,2019/3/21 10:10,351852100974178,537.6,530.255,20
61A3J021778,2019/3/21 10:11,351852100950343,559.5733,473.3867,20
61A3J021624,2019/3/21 10:11,351852100948800,529.0667,454.4,20
61A3J022188,2019/3/21 10:12,351852100954444,583.4667,522.6667,21
61A3J024580,2019/3/21 10:12,351852100978369,549.8824,517.12,21
61A3J024588,2019/3/21 10:13,351852100978443,555.4595,503.68,21
61A3J021622,2019/3/21 10:14,351852100948784,548.1081,529.28,21
61A3J024147,2019/3/21 10:14,351852100974038,593.4933,501.5467,21
61A3J022399,2019/3/21 10:15,351852100956555,594.7317,507.0933,22
61A3J024586,2019/3/21 10:15,351852100978427,470.1867,450.1333,22
61A3J024213,2019/3/21 10:16,351852100974699,562.0571,524.3733,22
61A3J021665,2019/3/21 10:17,351852100949212,569.6,477.2267,22
61A3J021667,2019/3/21 10:18,351852100949238,501.5467,452.48,22
61A3J024578,2019/3/21 10:19,351852100978344,544.8533,468.2667,23
61A3J021776,2019/3/21 10:19,351852100950327,473.1733,566.5503,23
61A3J022199,2019/3/21 10:20,351852100954550,579.9137,493.8667,23
61A3J021617,2019/3/21 10:21,351852100948735,582.1277,520.32,23
61A3J022364,2019/3/21 10:22,351852100956209,500.0533,545.0667,23
61A3J021670,2019/3/21 10:22,351852100949261,484.6933,491.3067,24
61A3J021855,2019/3/21 10:23,351852100951119,545.7534,482.3467,24
61A3J021626,2019/3/21 10:23,351852100948826,568.7467,512.64,24
61A3J021681,2019/3/21 10:24,351852100949378,549.76,526.08,24
61A3J024240,2019/3/21 10:25,351852100974962,562.6861,514.1333,24
61A3J021528,2019/3/21 10:25,351852100947844,468.48,507.52,25
61A3J021790,2019/3/21 10:26,351852100950467,576.4267,498.56,25
61A3J021754,2019/3/21 10:26,351852100950103,571.4286,500.2667,25
61A3J022701,2019/3/21 10:27,351852100959575,529.7067,448.4267,25
61A3J022676,2019/3/21 10:27,351852100959328,575.7778,517.76,25
61A3J024163,2019/3/21 10:28,351852100974194,537.1733,499.4133,26
61A3J022374,2019/3/21 10:29,351852100956308,512.64,497.28,26
61A3J022323,2019/3/21 10:29,351852100955797,473.9866,429.44,26
61A3J024166,2019/3/21 10:30,351852100974228,539.9467,549.5467,26
61A3J022356,2019/3/21 10:31,351852100956126,545.1268,502.1867,26
61A3J022379,2019/3/21 10:31,351852100956357,552.8116,526.9333,27
61A3J024601,2019/3/21 10:36,351852100978575,570.7755,509.8667,27
61A3J024571,2019/3/21 10:38,351852100978278,547.4043,473.6,27
61A3J021668,2019/3/21 10:38,351852100949246,549.9733,516.0533,27
61A3J024324,2019/3/21 10:39,351852100975803,533.3333,521.8133,27
61A3J021672,2019/3/21 10:40,351852100949287,555.0933,530.56,28
61A3J021785,2019/3/21 10:40,351852100950418,548.0533,522.88,28
61A3J024168,2019/3/21 10:41,351852100974244,561.2308,448.2133,28
61A3J021702,2019/3/21 10:42,351852100949584,551.04,461.2267,28
61A3J024201,2019/3/21 10:43,351852100974574,460.5867,291.2,28
61A3J021976,2019/3/21 10:43,351852100952323,634.4186,505.8133,29
61A3J021210,2019/3/21 10:44,351852100944668,549.9733,478.2933,29
61A3J024239,2019/3/21 10:44,351852100974954,539.9467,501.9733,29
61A3J023963,2019/3/21 10:45,351852100972198,557.2267,503.2533,29
61A3J021974,2019/3/21 10:46,351852100952307,512.8533,499.4133,29
61A3J021922,2019/3/21 10:47,351852100951788,555.9467,496.64,30
61A3J021920,2019/3/21 10:47,351852100951762,572.16,487.68,30
61A3J021465,2019/3/21 10:48,351852100947216,561.3521,513.0667,30
61A3J022365,2019/3/21 10:49,351852100956217,520.1067,477.2267,30
61A3J022093,2019/3/21 10:50,351852100953495,581.1831,528.8649,30
61A3J021530,2019/3/21 10:50,351852100947869,564.6933,591.8881,31
61A3J022096,2019/3/21 10:51,351852100953529,548.7761,542.2933,31
61A3J024202,2019/3/21 10:51,351852100974582,554.094,501.3333,31
61A3J021972,2019/3/21 10:53,351852100952281,587.3067,491.9467,31
61A3J021977,2019/3/21 10:53,351852100952331,599.6712,500.2667,31
61A3J022772,2019/3/21 10:54,351852100960284,561.0667,492.16,32
61A3J022951,2019/3/21 10:54,351852100962074,515.6267,454.4,32
61A3J023466,2019/3/21 10:55,351852100967222,543.2782,589.8082,32
61A3J022671,2019/3/21 10:55,351852100959278,506.88,477.44,32
61A3J024477,2019/3/21 10:56,351852100977338,510.72,510.08,32
61A3J023229,2019/3/21 10:57,351852100964856,490.0267,439.4667,33
61A3J021473,2019/3/21 10:57,351852100947299,570.4533,477.6533,33
61A3J024554,2019/3/21 10:59,351852100978104,494.2933,461.0133,33
61A3J021646,2019/3/21 11:00,351852100949022,575.7867,532.2667,33
61A3J022434,2019/3/21 11:00,351852100956902,500.48,518.8267,33
61A3J024478,2019/3/21 11:01,351852100977346,484.2667,461.0133,34
61A3J021470,2019/3/21 11:01,351852100947265,530.9867,543.5733,34
61A3J024394,2019/3/21 11:02,351852100976504,568.2286,493.6533,34
61A3J024167,2019/3/21 11:03,351852100974236,504.5333,449.4933,34
61A3J023663,2019/3/21 11:03,351852100969194,580.8855,471.2533,34
61A3J021941,2019/3/21 11:04,351852100951978,557.8082,525.8667,35
61A3J024614,2019/3/21 11:04,351852100978708,564.6933,516.48,35
61A3J022401,2019/3/21 11:05,351852100956571,551.68,512.64,35
61A3J024556,2019/3/21 11:06,351852100978120,525.6216,469.3333,35
61A3J024392,2019/3/21 11:07,351852100976488,567.8841,535.68,35
61A3J022343,2019/3/21 11:08,351852100955995,536.7467,500.2667,36
61A3J024391,2019/3/21 11:08,351852100976470,541.4054,491.3067,36
61A3J021212,2019/3/21 11:09,351852100944684,566.6286,498.1333,36
61A3J023647,2019/3/21 11:09,351852100969038,570.6667,537.557,36
61A3J023661,2019/3/21 11:10,351852100969178,536.7467,459.7333,36
61A3J022774,2019/3/21 11:11,351852100960300,538.24,502.8267,37
61A3J023648,2019/3/21 11:12,351852100969046,522.88,495.5733,37
61A3J022094,2019/3/21 11:12,351852100953503,543.7867,510.5067,37
61A3J021917,2019/3/21 11:13,351852100951739,537.6,485.5467,37
61A3J023250,2019/3/21 11:14,351852100965069,548.6933,507.9467,37
61A3J023239,2019/3/21 11:15,351852100964955,533.5467,478.2933,38
61A3J021970,2019/3/21 11:15,351852100952265,503.8933,459.3067,38
61A3J023211,2019/3/21 11:16,351852100964674,579.3333,520.5333,38
61A3J021751,2019/3/21 11:16,351852100950079,481.0667,488.32,38
61A3J024171,2019/3/21 12:24,351852100974277,228.5714,220.5867,38
61A3J023645,2019/3/21 12:25,351852100969012,573.44,516.9067,39
61A3J024388,2019/3/21 12:25,351852100976447,592.64,518.8267,39
61A3J022095,2019/3/21 12:26,351852100953511,638.6286,488.1067,39
61A3J023249,2019/3/21 12:26,351852100965051,571.3067,534.0541,39
61A3J023519,2019/3/21 12:27,351852100967750,575.5733,493.2267,39
61A3J022801,2019/3/21 12:28,351852100960573,512,501.12,40
61A3J021919,2019/3/21 12:28,351852100951754,561.28,523.7333,40
61A3J022361,2019/3/21 12:29,351852100956175,547.84,503.68,40
61A3J024639,2019/3/21 12:29,351852100978955,581.4519,498.56,40
61A3J021967,2019/3/21 12:30,351852100952232,566.4,534.6133,40
61A3J021939,2019/3/21 12:31,351852100951952,517.9733,517.9733,41
61A3J021468,2019/3/21 12:32,351852100947240,609.2598,546.5772,41
61A3J021942,2019/3/21 12:32,351852100951986,588.8,598.6014,41
61A3J023302,2019/3/21 12:33,351852100965580,574.8966,548.9067,41
61A3J023214,2019/3/21 12:33,351852100964708,570.88,534.6133,41
61A3J024619,2019/3/21 12:34,351852100978757,602.084,545.9459,42
61A3J022381,2019/3/21 12:34,351852100956373,567.8933,490.4533,42
61A3J021211,2019/3/21 12:35,351852100944676,528.5369,468.2667,42
61A3J023207,2019/3/21 12:36,351852100964633,621.3333,528.8533,42
61A3J021467,2019/3/21 12:37,351852100947232,544.64,504.5333,42
61A3J022370,2019/3/21 12:37,351852100956266,547.4133,502.4,43
61A3J021937,2019/3/21 12:38,351852100951937,552.5035,495.7867,43
61A3J023235,2019/3/21 12:38,351852100964914,594.1918,505.2517,43
61A3J024242,2019/3/21 12:39,351852100974988,517.12,488.5333,43
61A3J023238,2019/3/21 12:40,351852100964948,568.4571,505.557,43
61A3J023644,2019/3/21 12:40,351852100969004,583.2624,479.5733,44
61A3J024211,2019/3/21 12:41,351852100974673,525.2267,492.8,44
61A3J022610,2019/3/21 12:42,351852100958668,548.48,507.9467,44
61A3J022813,2019/3/21 12:43,351852100960698,574.5067,513.0667,44
61A3J023796,2019/3/21 12:43,351852100970523,542.72,582.0541,44
61A3J022870,2019/3/21 12:44,351852100961266,573.7778,492.8,45
61A3J023210,2019/3/21 12:45,351852100964666,593.8551,504.96,45
61A3J021659,2019/3/21 12:45,351852100949154,538.4533,526.08,45
61A3J023212,2019/3/21 12:46,351852100964682,605.6198,530.7733,45
61A3J021854,2019/3/21 12:46,351852100951101,628.2927,516.2667,45
61A3J023793,2019/3/21 12:47,351852100970499,611.9708,557.0207,46
61A3J023244,2019/3/21 12:48,351852100965002,522.0267,580.9396,46
61A3J024361,2019/3/21 12:49,351852100976173,567.1946,541.6533,46
61A3J021209,2019/3/21 12:51,351852100944650,567.8933,591.1467,46
61A3J022363,2019/3/21 12:51,351852100956191,569.6871,519.68,46
61A3J021858,2019/3/21 12:53,351852100951143,528.4267,514.56,47
61A3J023641,2019/3/21 12:54,351852100968972,545.5775,528.8533,47
61A3J022221,2019/3/21 12:55,351852100954774,573.1556,516.507,47
61A3J024351,2019/3/21 12:55,351852100976074,550.5816,561.28,47
61A3J021615,2019/3/21 12:56,351852100948719,473.1733,513.4933,47
61A3J022771,2019/3/21 12:56,351852100960276,578.3946,518.6133,48
61A3J022812,2019/3/21 12:57,351852100960680,614.1935,558.08,48
61A3J022075,2019/3/21 12:57,351852100953313,509.0133,560.64,48
61A3J023809,2019/3/21 12:58,351852100970655,575.7746,458.88,48
61A3J023240,2019/3/21 12:58,351852100964963,564.9067,560.7619,48
61A3J022287,2019/3/21 12:59,351852100955433,549.3333,508.5867,49
61A3J022506,2019/3/21 13:00,351852100957629,603.0769,532.6933,49
61A3J023237,2019/3/21 13:01,351852100964930,567.3143,505.3867,49
61A3J023801,2019/3/21 13:06,351852100970572,535.68,498.3467,49
61A3J023580,2019/3/21 13:07,351852100968360,566.4,498.56,49
61A3J023301,2019/3/21 13:08,351852100965572,364.8,462.3448,50
61A3J022809,2019/3/21 13:09,351852100960656,556.0839,532.9067,50
61A3J023646,2019/3/21 13:09,351852100969020,555.0933,517.76,50
61A3J023427,2019/3/21 13:10,351852100966836,546.1333,498.56,50
61A3J022231,2019/3/21 13:10,351852100954873,400.8533,637.0169,50
61A3J021429,2019/3/21 13:11,351852100946853,226.1333,778.3226,51
61A3J023430,2019/3/21 13:12,351852100966869,532.1879,521.6,51
61A3J021613,2019/3/21 13:12,351852100948693,577.7067,508.16,51
61A3J023571,2019/3/21 13:13,351852100968279,605.696,541.0133,51
61A3J021204,2019/3/21 13:14,351852100944601,356.2667,702.9189,51
61A3J023379,2019/3/21 13:16,351852100966356,551.8933,527.5733,52
61A3J023804,2019/3/21 13:17,351852100970606,544,491.0933,52
61A3J022369,2019/3/21 13:18,351852100956258,588.8451,495.5733,52
61A3J022115,2019/3/21 13:18,351852100953719,581.1831,514.3467,52
61A3J023515,2019/3/21 13:19,351852100967719,419.5556,428.4444,52
61A3J022571,2019/3/21 13:19,351852100958270,586,480.8533,53
61A3J022380,2019/3/21 13:20,351852100956365,573.0133,517.9733,53
61A3J021978,2019/3/21 13:20,351852100952349,563.2,558.2933,53
61A3J023432,2019/3/21 13:21,351852100966885,585.7297,512,53
61A3J023581,2019/3/21 13:22,351852100968378,549.8378,597.4054,53
61A3J021201,2019/3/21 13:22,351852100944577,546.869,516.2667,54
61A3J023213,2019/3/21 13:23,351852100964690,575.1467,568.1633,54
61A3J023655,2019/3/21 13:24,351852100969111,505.8133,501.12,54
61A3J022889,2019/3/21 13:24,351852100961456,385.28,662.3759,54
61A3J022325,2019/3/21 13:25,351852100955813,528.1168,524.5867,54
61A3J023586,2019/3/21 13:25,351852100968428,230.1867,337.4545,55
61A3J021202,2019/3/21 13:26,351852100944585,274.9388,701.6642,55
61A3J022800,2019/3/21 13:27,351852100960565,490.24,748.5607,55
61A3J022890,2019/3/21 13:27,351852100961464,431.36,673.6134,55
61A3J023620,2019/3/21 13:28,351852100968766,398.5067,539.0933,55
61A3J022373,2019/3/21 13:28,351852100956290,426.6667,715.6106,56
61A3J023381,2019/3/21 13:29,351852100966372,565.3333,516.48,56
61A3J023405,2019/3/21 13:29,351852100966612,412.5867,637.8978,56
61A3J021616,2019/3/21 13:30,351852100948727,568.7467,522.4533,56
61A3J023803,2019/3/21 13:30,351852100970598,557.8741,663.4419,56
61A3J023653,2019/3/21 13:31,351852100969095,542.8811,499.2,57
61A3J022970,2019/3/21 13:32,351852100962264,570.3942,572.4932,57
61A3J022790,2019/3/21 13:32,351852100960466,513.5135,497.7067,57
61A3J022507,2019/3/21 13:33,351852100957637,591.1467,513.92,57
61A3J023951,2019/3/21 13:33,351852100972073,525.7143,574.0671,57
61A3J021752,2019/3/21 13:34,351852100950087,564.2667,538.24,58
61A3J023360,2019/3/21 13:34,351852100966166,643.4783,572.0276,58
61A3J023406,2019/3/21 13:35,351852100966620,251.3067,300.16,58
61A3J021844,2019/3/21 13:35,351852100951002,594.9793,507.0933,58
61A3J022272,2019/3/21 13:36,351852100955284,502.1867,605.2,58
61A3J022246,2019/3/21 13:37,351852100955029,243.2,339.2542,59
61A3J023357,2019/3/21 13:37,351852100966133,589.6471,544,59
61A3J023216,2019/3/21 13:38,351852100964724,539.52,514.9867,59
61A3J021407,2019/3/21 13:38,351852100946630,562.2222,588.16,59
61A3J021356,2019/3/21 13:39,351852100946127,563.84,513.4933,59
61A3J023429,2019/3/21 13:39,351852100966851,630.2411,514.3467,60
61A3J023654,2019/3/21 13:40,351852100969103,365.2267,626.6667,60
61A3J023617,2019/3/21 13:40,351852100968733,590.1497,548.48,60
61A3J023588,2019/3/21 13:41,351852100968444,351.5733,698.0299,60
61A3J023575,2019/3/21 13:42,351852100968311,466.1333,654.019,60
61A3J023577,2019/3/21 13:43,351852100968337,576.7059,517.9733,61
61A3J023382,2019/3/21 13:43,351852100966380,536.7467,536.96,61
61A3J023304,2019/3/21 13:44,351852100965606,556.4082,547.3803,61
61A3J023403,2019/3/21 13:45,351852100966596,508.8,504.7467,61
61A3J022967,2019/3/21 13:46,351852100962231,539.0933,498.3467,61
61A3J022529,2019/3/21 13:46,351852100957850,347.52,655.4483,62
61A3J023355,2019/3/21 13:47,351852100966117,556.8435,508.7123,62
61A3J022773,2019/3/21 13:47,351852100960292,579.9724,530.56,62
61A3J022919,2019/3/21 13:48,351852100961753,375.04,678.4,62
61A3J023583,2019/3/21 13:49,351852100968394,287.7867,741.9661,62
61A3J022811,2019/3/21 13:50,351852100960672,577.561,553.5135,63
61A3J022224,2019/3/21 13:51,351852100954808,582.4,501.5467,63
61A3J023358,2019/3/21 13:51,351852100966141,567.9456,503.2533,63
61A3J022308,2019/3/21 13:52,351852100955649,549.9007,521.6,63
61A3J023408,2019/3/21 13:53,351852100966646,496.378,596.2667,63
61A3J022972,2019/3/21 13:54,351852100962280,591.8832,546.9867,64
61A3J022269,2019/3/21 13:55,351852100955250,566.4,506.24,64
61A3J021405,2019/3/21 13:55,351852100946614,525.5302,491.9467,64
61A3J022917,2019/3/21 13:56,351852100961738,197.614,701.25,64
61A3J023384,2019/3/21 13:57,351852100966406,559.3143,535.8933,64
61A3J022814,2019/3/21 13:58,351852100960706,590.0432,538.2013,65
61A3J024453,2019/3/21 13:59,351852100977098,554.5143,563.2,65
61A3J024199,2019/3/21 13:59,351852100974558,566.6133,530.1333,65
61A3J022310,2019/3/21 14:00,351852100955664,581.76,491.7333,65
61A3J024436,2019/3/21 14:00,351852100976926,591.8779,532.0533,65
61A3J024433,2019/3/21 14:01,351852100976892,571.7333,496.64,66
61A3J024386,2019/3/21 14:02,351852100976421,578.1477,492.5867,66
61A3J022210,2019/3/21 14:08,351852100954667,546.7733,540.16,66
61A3J021398,2019/3/21 14:08,351852100946549,540.8889,538.88,66
61A3J021408,2019/3/21 14:09,351852100946648,514.7733,537.9459,66
61A3J022883,2019/3/21 14:10,351852100961399,562.7733,546.9867,67
61A3J021400,2019/3/21 14:10,351852100946564,529.92,506.0267,67
61A3J024444,2019/3/21 14:11,351852100977007,551.68,477.8667,67
61A3J024450,2019/3/21 14:12,351852100977064,552.1067,571.2432,67
61A3J022492,2019/3/21 14:12,351852100957488,560.8533,517.5467,67
61A3J022212,2019/3/21 14:13,351852100954683,585.1733,538.0267,68
61A3J023299,2019/3/21 14:14,351852100965556,552.96,556.16,68
61A3J022920,2019/3/21 14:14,351852100961761,587.0933,552.1611,68
61A3J021397,2019/3/21 14:15,351852100946531,549.9733,531.2,68
61A3J024451,2019/3/21 14:16,351852100977072,549.12,548.2953,68
61A3J022211,2019/3/21 14:16,351852100954675,562.3467,594.5034,69
61A3J022223,2019/3/21 14:17,351852100954790,528,545.2886,69
61A3J022371,2019/3/21 14:18,351852100956274,518.6133,549.12,69
61A3J022969,2019/3/21 14:18,351852100962256,557.44,507.9467,69
61A3J021457,2019/3/21 14:20,351852100947133,163.4133,164.3741,69
61A3J024241,2019/3/21 14:21,351852100974970,525.8667,536.96,70
61A3J022217,2019/3/21 14:21,351852100954733,568.7467,535.4667,70
61A3J022216,2019/3/21 14:22,351852100954725,614.75,568.32,70
61A3J022136,2019/3/21 14:23,351852100953925,548.4755,544.2133,70
61A3J022528,2019/3/21 14:23,351852100957843,585.8133,527.1467,70
61A3J022190,2019/3/21 14:25,351852100954469,499.4133,559.5733,71
61A3J022218,2019/3/21 14:26,351852100954741,588.8,511.36,71
61A3J021960,2019/3/21 14:27,351852100952166,600.8889,583.5168,71
61A3J021664,2019/3/21 14:28,351852100949204,584.7671,536.7467,71
61A3J024454,2019/3/21 14:29,351852100977106,596.0533,535.04,71
61A3J022904,2019/3/21 14:29,351852100961605,552.96,603.2868,72
61A3J022033,2019/3/21 14:30,351852100952893,503.04,532.2667,72
61A3J022225,2019/3/21 14:30,351852100954816,553.6,536.32,72
61A3J022630,2019/3/21 14:31,351852100958866,549.12,525.8667,72
61A3J022219,2019/3/21 14:32,351852100954758,640.2783,481.28,72
61A3J023849,2019/3/21 14:32,351852100971059,533.12,513.28,73
61A3J023872,2019/3/21 14:33,351852100971281,554.88,470.4,73
61A3J022899,2019/3/21 14:34,351852100961555,540.8,526.5067,73
61A3J022209,2019/3/21 14:35,351852100954659,566.4,516.0533,73
61A3J023871,2019/3/21 14:45,351852100971273,483.4133,544.6443,73
61A3J021628,2019/3/21 14:45,351852100948842,526.08,510.5067,74
61A3J023445,2019/3/21 14:46,351852100967016,534.1867,503.4667,74
61A3J022901,2019/3/21 14:46,351852100961571,625.9104,550.6577,74
61A3J023965,2019/3/21 14:47,351852100972214,648.192,514.7733,74
61A3J022049,2019/3/21 14:47,351852100953057,541.2267,547.84,74
61A3J021627,2019/3/21 14:48,351852100948834,562.56,482.9867,75
61A3J024103,2019/3/21 14:49,351852100973592,618.4615,554.9589,75
61A3J022915,2019/3/21 14:49,351852100961712,551.4203,547.84,75
61A3J024101,2019/3/21 14:50,351852100973576,609.6623,560.7619,75
61A3J022628,2019/3/21 14:51,351852100958841,536.1067,533.9733,75
61A3J022230,2019/3/21 14:51,351852100954865,622.4516,547.0067,76
61A3J022215,2019/3/21 14:52,351852100954717,533.3333,531.84,76
61A3J022367,2019/3/21 14:54,351852100956233,578.1333,529.92,76
61A3J021630,2019/3/21 14:55,351852100948867,488.5333,546.9867,76
61A3J023524,2019/3/21 14:55,351852100967800,565.7778,548.1081,76
61A3J022226,2019/3/21 14:56,351852100954824,558.5067,545.4933,77
61A3J022740,2019/3/21 14:56,351852100959963,623.0361,562.56,77
61A3J023907,2019/3/21 14:57,351852100971638,542.9333,565.047,77
61A3J022629,2019/3/21 14:57,351852100958858,585.4545,541.8667,77
61A3J023537,2019/3/21 14:58,351852100967933,549.12,523.3067,77
61A3J023908,2019/3/21 14:59,351852100971646,618.5,547.6757,78
61A3J023797,2019/3/21 15:00,351852100970531,547.6571,551.1367,78
61A3J022214,2019/3/21 15:00,351852100954709,532.48,556.7568,78
61A3J023518,2019/3/21 15:01,351852100967743,547.84,496.4267,78
61A3J023520,2019/3/21 15:02,351852100967768,549.12,531.6267,78
61A3J023201,2019/3/21 15:02,351852100964575,577.7067,572.8,79
61A3J021317,2019/3/21 15:03,351852100945731,596.5714,556.5405,79
61A3J023876,2019/3/21 15:03,351852100971323,578.1985,560.2133,79
